iter	Logloss
0	0.4557688926
1	0.2882355344
2	0.1822502661
3	0.1151958917
4	0.07349948647
5	0.04943396295
6	0.03322249414
7	0.0227820502
8	0.01610601895
9	0.01146349728
10	0.008043635404
11	0.00582060306
12	0.004464613657
13	0.003475198985
14	0.002723411376
15	0.002127053488
16	0.001696306247
17	0.001376197086
18	0.001129058586
19	0.0009327947642
20	0.0007923887436
21	0.0006687633203
22	0.0005731205833
23	0.0004967267311
24	0.000432817956
25	0.0003864272474
26	0.0003416122848
27	0.0003056448085
28	0.0002751106642
29	0.0002489968537
30	0.0002266155056
31	0.0002085679818
32	0.0001915115078
33	0.0001767937702
34	0.0001640764294
35	0.0001528750829
36	0.000142852832
37	0.0001338694401
38	0.0001258421817
39	0.0001188331869
40	0.0001123732483
41	0.0001064962153
42	0.0001011507947
43	9.623945273e-05
44	9.173623488e-05
45	9.173623488e-05
46	9.173509507e-05
47	9.17303976e-05
48	9.17303976e-05
49	9.17303976e-05
50	9.172807965e-05
51	9.172691824e-05
52	9.172459886e-05
53	9.172226115e-05
54	9.171995236e-05
55	9.171765916e-05
56	9.171533384e-05
57	9.171533384e-05
58	9.171300864e-05
59	9.171300864e-05
60	9.171300864e-05
61	9.171063537e-05
62	9.17060441e-05
63	9.170491934e-05
64	9.170031861e-05
65	9.169915252e-05
66	9.169799715e-05
67	9.169799715e-05
68	9.169799715e-05
69	9.169799715e-05
70	9.169339373e-05
71	9.169110196e-05
72	9.168889006e-05
73	9.168889006e-05
74	9.168438362e-05
75	9.168438362e-05
76	9.168204885e-05
77	9.168204885e-05
78	9.167747056e-05
79	9.167747056e-05
80	9.167747056e-05
81	9.16727728e-05
82	9.167046513e-05
83	9.167046513e-05
84	9.166586812e-05
85	9.166586812e-05
86	9.166126599e-05
87	9.166126599e-05
88	9.166126599e-05
89	9.165898093e-05
90	9.165778754e-05
91	9.165664113e-05
92	9.165548366e-05
93	9.165548366e-05
94	9.165432925e-05
95	9.1653179e-05
96	9.1653179e-05
97	9.165201964e-05
98	9.164741547e-05
99	9.16427342e-05
100	9.16427342e-05
101	9.164043344e-05
102	9.163819471e-05
103	9.163582679e-05
104	9.163582679e-05
105	9.16346894e-05
106	9.16323838e-05
107	9.163122301e-05
108	9.16289324e-05
109	9.162667884e-05
110	9.162433931e-05
111	9.162318575e-05
112	9.162203516e-05
113	9.161968829e-05
114	9.161504224e-05
115	9.161504224e-05
116	9.161504224e-05
117	9.161039233e-05
118	9.16080537e-05
119	9.16080537e-05
