iter	Passed	Remaining
403	6620	9766
404	6633	9745
405	6647	9725
406	6661	9705
407	6675	9685
408	6689	9666
409	6703	9647
410	6719	9630
411	6732	9609
412	6746	9588
413	6759	9568
414	6774	9549
415	6788	9529
416	6804	9513
417	6818	9494
418	6832	9474
419	6845	9453
420	6859	9433
421	6875	9417
422	6889	9397
423	6904	9379
424	6919	9361
425	6933	9342
426	6946	9322
427	6960	9302
428	6974	9283
429	6989	9264
430	7005	9248
431	7021	9232
432	7036	9214
433	7050	9195
434	7065	9176
435	7078	9156
436	7092	9136
437	7106	9117
438	7124	9104
439	7142	9090
440	7161	9077
441	7178	9062
442	7195	9047
443	7212	9031
444	7229	9016
445	7247	9002
446	7265	8989
447	7284	8975
448	7303	8962
449	7321	8948
450	7338	8933
451	7355	8917
452	7372	8902
453	7389	8886
454	7406	8871
455	7424	8856
456	7442	8842
457	7459	8827
458	7475	8811
459	7493	8796
460	7509	8780
461	7526	8764
462	7542	8747
463	7558	8731
464	7574	8715
465	7591	8698
466	7608	8683
467	7624	8667
468	7641	8651
469	7658	8635
470	7674	8619
471	7691	8604
472	7710	8590
473	7727	8574
474	7743	8558
475	7761	8543
476	7777	8527
477	7795	8512
478	7810	8494
479	7825	8477
480	7839	8458
481	7854	8441
482	7869	8423
483	7884	8405
484	7897	8386
485	7912	8367
486	7926	8349
487	7940	8330
488	7956	8314
489	7970	8295
490	7985	8278
491	7998	8259
492	8013	8241
493	8027	8222
494	8042	8204
495	8056	8186
496	8070	8167
497	8084	8149
498	8098	8130
499	8112	8112
500	8127	8094
501	8141	8077
502	8158	8060
503	8172	8042
504	8186	8023
505	8200	8005
506	8214	7987
507	8228	7969
508	8244	7952
509	8260	7936
510	8275	7918
511	8290	7901
512	8305	7884
513	8320	7867
514	8334	7849
515	8348	7830
516	8361	7811
517	8375	7793
518	8390	7775
519	8405	7758
520	8420	7741
521	8434	7723
522	8447	7704
523	8461	7686
524	8475	7668
525	8489	7650
526	8504	7633
527	8520	7616
528	8534	7598
529	8548	7580
530	8561	7561
531	8576	7545
532	8591	7527
533	8605	7509
534	8619	7491
535	8633	7474
536	8648	7456
537	8663	7439
538	8677	7421
539	8691	7403
540	8705	7385
541	8719	7368
542	8734	7351
543	8749	7334
544	8763	7316
545	8777	7298
546	8790	7280
547	8804	7262
548	8818	7244
549	8834	7228
550	8852	7213
551	8866	7196
552	8881	7179
553	8895	7161
554	8909	7143
555	8922	7125
556	8936	7107
557	8951	7090
558	8966	7073
559	8981	7056
560	8995	7039
561	9010	7022
562	9023	7004
563	9037	6986
564	9051	6968
565	9066	6952
566	9081	6934
567	9096	6918
568	9111	6902
569	9126	6884
570	9139	6866
571	9153	6848
572	9167	6831
573	9180	6813
574	9194	6796
575	9208	6778
576	9222	6761
577	9236	6743
578	9251	6726
579	9266	6710
580	9281	6693
581	9295	6676
582	9310	6659
583	9325	6643
584	9341	6626
585	9354	6608
586	9368	6591
587	9383	6574
588	9398	6557
589	9412	6540
590	9426	6523
591	9440	6506
592	9454	6489
593	9467	6471
594	9480	6453
595	9495	6436
596	9509	6419
597	9523	6401
598	9537	6384
599	9550	6366
600	9564	6349
601	9578	6332
602	9591	6315
603	9606	6298
604	9620	6280
605	9633	6263
606	9647	6245
607	9660	6228
608	9673	6210
609	9687	6193
610	9701	6176
611	9714	6158
612	9727	6141
613	9741	6124
614	9755	6107
615	9769	6090
616	9783	6073
617	9797	6056
618	9811	6038
619	9826	6022
620	9844	6008
621	9858	5991
622	9872	5974
623	9886	5957
624	9901	5940
625	9915	5924
626	9928	5906
627	9942	5889
628	9957	5873
629	9971	5856
630	9985	5839
631	10001	5823
632	10015	5806
633	10030	5790
634	10044	5773
635	10060	5757
636	10073	5740
637	10087	5723
638	10101	5706
639	10115	5690
640	10130	5673
641	10144	5657
642	10159	5640
643	10173	5623
644	10186	5606
645	10200	5589
646	10217	5574
647	10232	5558
648	10248	5542
649	10262	5526
650	10277	5509
651	10292	5493
652	10307	5477
653	10321	5460
654	10335	5443
655	10350	5427
656	10364	5410
657	10378	5394
658	10395	5379
659	10410	5362
660	10424	5346
661	10438	5329
662	10451	5312
663	10467	5297
664	10499	5289
665	10516	5274
666	10533	5258
667	10549	5243
668	10566	5227
669	10582	5212
670	10599	5197
671	10616	5181
672	10632	5166
673	10649	5150
674	10666	5135
675	10681	5119
676	10695	5103
677	10710	5086
678	10724	5070
679	10740	5054
680	10755	5038
681	10769	5021
682	10783	5004
683	10796	4987
684	10811	4971
685	10825	4954
686	10841	4939
687	10855	4922
688	10869	4906
689	10884	4890
690	10897	4873
691	10912	4856
692	10926	4840
693	10940	4823
694	10954	4807
695	10969	4791
696	10983	4774
697	10997	4758
698	11010	4741
699	11025	4725
700	11039	4708
701	11054	4692
702	11068	4676
703	11083	4660
704	11097	4643
705	11110	4626
706	11124	4610
707	11138	4593
708	11152	4577
709	11167	4561
710	11181	4544
711	11194	4528
712	11209	4512
713	11225	4496
714	11241	4480
715	11254	4464
716	11269	4447
717	11283	4431
718	11298	4415
719	11312	4399
720	11327	4383
721	11341	4367
722	11355	4350
723	11369	4334
724	11383	4317
725	11397	4301
726	11411	4285
727	11426	4269
728	11439	4252
729	11453	4236
730	11469	4220
731	11483	4204
732	11497	4187
733	11511	4171
734	11525	4155
735	11538	4138
736	11552	4122
737	11568	4106
738	11583	4090
739	11597	4074
740	11611	4058
741	11625	4042
742	11639	4026
743	11653	4009
744	11667	3993
745	11681	3977
746	11695	3961
747	11710	3945
748	11725	3929
749	11739	3913
750	11753	3896
751	11767	3880
752	11781	3864
753	11795	3848
754	11809	3832
755	11827	3817
756	11841	3801
757	11856	3785
758	11870	3769
759	11885	3753
760	11898	3736
761	11913	3720
762	11927	3704
763	11942	3688
764	11956	3672
765	11970	3656
766	11984	3640
767	12000	3625
768	12014	3609
769	12028	3592
770	12043	3577
771	12059	3561
772	12079	3547
773	12096	3531
774	12114	3517
775	12131	3501
776	12148	3486
777	12166	3471
778	12182	3456
779	12202	3441
780	12220	3426
781	12238	3411
782	12256	3396
783	12273	3381
784	12290	3366
785	12306	3350
786	12324	3335
787	12341	3320
788	12358	3304
789	12376	3289
790	12392	3274
791	12409	3259
792	12427	3243
793	12444	3228
794	12461	3213
795	12479	3198
796	12496	3182
797	12512	3167
798	12530	3152
799	12547	3136
800	12564	3121
801	12579	3105
802	12596	3090
803	12613	3074
804	12629	3059
805	12647	3044
806	12665	3029
807	12682	3013
808	12700	2998
809	12728	2985
810	12743	2969
811	12758	2953
812	12773	2937
813	12788	2922
814	12803	2906
815	12818	2890
816	12831	2874
817	12844	2857
818	12859	2841
819	12873	2825
820	12890	2810
821	12905	2794
822	12919	2778
823	12934	2762
824	12948	2746
825	12961	2730
826	12978	2714
827	12991	2698
828	13006	2682
829	13020	2666
830	13035	2650
831	13049	2635
832	13064	2619
833	13078	2603
834	13093	2587
835	13107	2571
836	13121	2555
837	13137	2539
838	13152	2523
839	13167	2508
840	13182	2492
841	13196	2476
842	13210	2460
843	13224	2444
844	13239	2428
845	13253	2412
846	13268	2396
847	13282	2380
848	13297	2365
849	13312	2349
850	13325	2333
851	13340	2317
852	13354	2301
853	13369	2285
854	13385	2269
855	13400	2254
856	13414	2238
857	13429	2222
858	13444	2206
859	13457	2190
860	13471	2174
861	13485	2158
862	13500	2143
863	13515	2127
864	13529	2111
865	13544	2095
866	13558	2079
867	13571	2063
868	13585	2048
869	13599	2032
870	13613	2016
871	13629	2000
872	13643	1984
873	13657	1968
874	13678	1954
875	13703	1939
876	13724	1924
877	13743	1909
878	13763	1894
879	13783	1879
880	13804	1864
881	13824	1849
882	13846	1834
883	13868	1819
884	13888	1804
885	13907	1789
886	13928	1774
887	13948	1759
888	13965	1743
889	13982	1728
890	13999	1712
891	14016	1697
892	14036	1681
893	14055	1666
894	14071	1650
895	14088	1635
896	14103	1619
897	14120	1603
898	14138	1588
899	14154	1572
900	14172	1557
901	14190	1541
902	14207	1526
903	14223	1510
904	14242	1495
905	14258	1479
906	14276	1463
907	14292	1448
908	14310	1432
909	14326	1416
910	14343	1401
911	14364	1386
912	14389	1371
913	14406	1355
914	14423	1339
915	14441	1324
916	14462	1309
917	14479	1293
918	14496	1277
919	14518	1262
920	14537	1246
921	14557	1231
922	14591	1217
923	14613	1202
924	14634	1186
925	14652	1170
926	14670	1155
927	14690	1139
928	14709	1124
929	14728	1108
930	14745	1092
931	14762	1077
932	14792	1062
933	14825	1047
934	14841	1031
935	14863	1016
936	14880	1000
937	14902	985
938	14933	970
939	14972	955
940	14991	939
941	15012	924
942	15037	908
943	15060	893
944	15081	877
945	15101	862
946	15116	846
947	15131	830
948	15146	813
949	15161	797
950	15176	781
951	15191	765
952	15205	749
953	15218	733
954	15232	717
955	15246	701
956	15261	685
957	15275	669
958	15290	653
959	15310	637
960	15327	622
961	15344	606
962	15362	590
963	15395	574
964	15418	559
965	15437	543
966	15453	527
967	15468	511
968	15483	495
969	15496	479
970	15510	463
971	15523	447
972	15537	431
973	15550	415
974	15563	399
975	15576	383
976	15589	366
977	15602	350
978	15615	334
979	15629	318
980	15642	302
981	15655	286
982	15667	270
983	15681	254
984	15694	239
985	15707	223
986	15720	207
987	15733	191
988	15746	175
989	15760	159
990	15773	143
991	15787	127
992	15801	111
993	15814	95
994	15827	79
995	15841	63
996	15854	47
997	15868	31
998	15881	15
999	15895	0
