iter	RMSE
258	7.561452017
259	7.560638698
260	7.560014975
261	7.559178097
262	7.557513647
263	7.555298153
264	7.553536765
265	7.55297081
266	7.552349697
267	7.550727601
268	7.549842996
269	7.549106117
270	7.548148657
271	7.546419223
272	7.54579465
273	7.544772842
274	7.5434947
275	7.542650622
276	7.540793726
277	7.538600299
278	7.538008324
279	7.53745984
280	7.536788474
281	7.536085649
282	7.533467564
283	7.532383482
284	7.528109682
285	7.527148804
286	7.526211091
287	7.525496999
288	7.522647065
289	7.521939756
290	7.51937284
291	7.518532885
292	7.51692683
293	7.515420646
294	7.514691468
295	7.513036325
296	7.512395413
297	7.511694221
298	7.510588347
299	7.509746378
300	7.509111245
301	7.507466646
302	7.505926471
303	7.502831881
304	7.499203445
305	7.49858616
306	7.498230821
307	7.497736727
308	7.496140072
309	7.493871829
310	7.491255427
311	7.487740452
312	7.487418677
313	7.486936038
314	7.486280147
315	7.485802962
316	7.484316288
317	7.481111316
318	7.477176988
319	7.470995277
320	7.469471252
321	7.468063191
322	7.467563549
323	7.466799914
324	7.466311258
325	7.464840131
326	7.46406699
327	7.463189487
328	7.462738804
329	7.461312915
330	7.460870118
331	7.460432949
332	7.46000509
333	7.45946753
334	7.458179509
335	7.455507102
336	7.453975187
337	7.452598658
338	7.451363271
339	7.450509443
340	7.449579499
341	7.446531766
342	7.444733743
343	7.444326205
344	7.443811095
345	7.43995523
346	7.43483238
347	7.433508874
348	7.43231838
349	7.431005633
350	7.430324716
351	7.429110952
352	7.426417273
353	7.425865998
354	7.423126578
355	7.422670114
356	7.421454787
357	7.420720909
358	7.419449022
359	7.418789631
360	7.418147407
361	7.414921953
362	7.41367076
363	7.412664208
364	7.412164978
365	7.411019358
366	7.40979387
367	7.408662316
368	7.405428999
369	7.402524797
370	7.400124646
371	7.399216999
372	7.396084409
373	7.395224037
374	7.39436466
375	7.391346975
376	7.390188542
377	7.389811317
378	7.389159245
379	7.38886581
380	7.387750312
381	7.387113874
382	7.385800749
383	7.385241382
384	7.384149312
385	7.383722109
386	7.381176123
387	7.379149209
388	7.378784104
389	7.378499982
390	7.377956363
391	7.376962633
392	7.375093067
393	7.374321741
394	7.374041316
395	7.373545235
396	7.373193313
397	7.3711023
398	7.370729001
399	7.370388511
400	7.369108033
401	7.36754419
402	7.365793155
403	7.365281646
404	7.364558464
405	7.364179032
406	7.363739466
407	7.362200085
408	7.361148069
409	7.358744309
410	7.35779837
411	7.357315602
412	7.356990102
413	7.356734417
414	7.353687869
415	7.352204638
416	7.351701759
417	7.351398974
418	7.351148788
419	7.350706089
420	7.3500622
421	7.349530101
422	7.347706061
423	7.346854299
424	7.346544179
425	7.344552988
426	7.342291079
427	7.338927598
428	7.336156333
429	7.335592489
430	7.335352173
431	7.333637088
432	7.333335684
433	7.333098608
434	7.332803124
435	7.332279661
436	7.33061634
437	7.330013802
438	7.328546096
439	7.327438391
440	7.32721013
441	7.326931461
442	7.326385269
443	7.326059344
444	7.325052527
445	7.324851605
446	7.324578316
447	7.324268344
448	7.323905556
449	7.322408777
450	7.322155389
451	7.319914356
452	7.31965969
453	7.317525003
454	7.316363642
455	7.31450497
456	7.314303069
457	7.313860352
458	7.312914693
459	7.311086855
460	7.309837337
461	7.306073818
462	7.305035961
463	7.302223008
464	7.300625551
465	7.299233334
466	7.298450316
467	7.296278687
468	7.29571814
469	7.295134331
470	7.294503354
471	7.293613008
472	7.291233622
473	7.290990277
474	7.290757196
475	7.288934457
476	7.28870342
477	7.286626991
478	7.285690767
479	7.285366468
480	7.285137799
481	7.284619289
482	7.282813378
483	7.280907134
484	7.280017255
485	7.279628973
486	7.277514783
487	7.276925435
488	7.275900127
489	7.275530638
490	7.273513729
491	7.272655106
492	7.272187797
493	7.271855129
494	7.269898981
495	7.26931958
496	7.266171941
497	7.265934312
498	7.265183688
499	7.264932939
500	7.263286368
501	7.262974669
502	7.261985315
503	7.261548506
504	7.261184214
505	7.260826982
506	7.258209183
507	7.257939736
508	7.257436829
509	7.257027838
510	7.255095848
511	7.25481272
512	7.254621898
513	7.252856281
514	7.25213555
515	7.251446572
516	7.251239014
517	7.249395673
518	7.249183108
519	7.24660554
520	7.244495054
521	7.244147432
522	7.242726499
523	7.240260968
524	7.23955884
525	7.236889763
526	7.23668045
527	7.236541342
528	7.236315289
529	7.23498699
530	7.232838447
531	7.23200424
532	7.231530011
533	7.229140153
534	7.228889865
535	7.22601467
536	7.224613573
537	7.224434233
538	7.221859218
539	7.221681456
540	7.221412048
541	7.221163565
542	7.220660394
543	7.220283344
544	7.219020093
545	7.21872897
546	7.218408442
547	7.216555975
548	7.214391589
549	7.212256817
550	7.209773697
551	7.207907302
552	7.206370306
553	7.206033765
554	7.205539396
555	7.205319922
556	7.204995668
557	7.20460853
558	7.204177397
559	7.203903598
560	7.203365406
561	7.203173919
562	7.200942125
563	7.200371787
564	7.20024271
565	7.200008221
566	7.199807057
567	7.198369312
568	7.198246629
569	7.197960875
570	7.195967835
571	7.195537406
572	7.193937534
573	7.192708657
574	7.192336845
575	7.192115738
576	7.191889741
577	7.191424499
578	7.189853356
579	7.189566415
580	7.188191844
581	7.187741879
582	7.186496047
583	7.18624273
584	7.18598815
585	7.1857586
586	7.185192289
587	7.184452214
588	7.184273295
589	7.183090045
590	7.182179659
591	7.180991347
592	7.180855048
593	7.180634442
594	7.180455541
595	7.180307146
596	7.178757184
597	7.178176747
598	7.177894061
599	7.176257658
600	7.176058635
601	7.175926023
602	7.174702747
603	7.174389325
604	7.174172459
605	7.173949514
606	7.173362391
607	7.172079263
608	7.170536991
609	7.169422171
610	7.169258505
611	7.165798661
612	7.165015669
613	7.164336827
614	7.162680411
615	7.162153095
616	7.161399541
617	7.161175442
618	7.158941012
619	7.158795402
620	7.158510058
621	7.157122327
622	7.155873098
623	7.154736403
624	7.154488464
625	7.152754203
626	7.152597136
627	7.1519425
628	7.151163046
629	7.151012946
630	7.14918305
631	7.148951682
632	7.148205237
633	7.14642625
634	7.145346326
635	7.14201994
636	7.14145658
637	7.141241754
638	7.140369326
639	7.139353038
640	7.137247266
641	7.137117129
642	7.136954676
643	7.134926049
644	7.134579169
645	7.134240492
646	7.134025702
647	7.132657149
648	7.132129972
649	7.131843771
650	7.131091379
651	7.130072108
652	7.129506687
653	7.129191476
654	7.128482714
655	7.128306907
656	7.127041095
657	7.126950933
658	7.125368917
659	7.124659629
660	7.122170018
661	7.122054569
662	7.121287127
663	7.12097815
664	7.119344017
665	7.119172142
666	7.118612615
667	7.117898504
668	7.11766045
669	7.11657036
670	7.115266244
671	7.113601812
672	7.11305949
673	7.112503483
674	7.112348038
675	7.112122924
676	7.111942483
677	7.111721002
678	7.110532869
679	7.110366616
680	7.110161174
681	7.109605421
682	7.107936012
683	7.106216504
684	7.105501001
685	7.104279246
686	7.104075869
687	7.101594042
688	7.10104204
689	7.09978409
690	7.097011265
691	7.096851607
692	7.096174735
693	7.095966495
694	7.095753515
695	7.094484264
696	7.09433312
697	7.092928328
698	7.092803208
699	7.090146196
700	7.088948018
701	7.087614472
702	7.087449625
703	7.087272549
704	7.086588975
705	7.086455303
706	7.085074858
707	7.083455803
708	7.083062503
709	7.081705102
710	7.081175909
711	7.07938637
712	7.078271724
713	7.076781722
714	7.076095017
715	7.074753945
716	7.074340109
717	7.073284106
718	7.071928401
719	7.071404651
720	7.070262253
721	7.069729762
722	7.067405278
723	7.066197969
724	7.065647048
725	7.065318657
726	7.06504398
727	7.064505756
728	7.064303494
729	7.063591418
730	7.062847335
731	7.062615546
732	7.06248426
733	7.059992133
734	7.059580772
735	7.057841927
736	7.057674672
737	7.05618994
738	7.055632859
739	7.055479425
740	7.055262648
741	7.055147203
742	7.054963896
743	7.054682666
744	7.054133962
745	7.053141009
746	7.052961922
747	7.052803759
748	7.051655756
749	7.050935317
750	7.050641678
751	7.050004074
752	7.049524955
753	7.049133011
754	7.047400914
755	7.046723999
756	7.046385154
757	7.045648007
758	7.044495189
759	7.044211297
760	7.043753048
761	7.043581151
762	7.042705465
763	7.042440308
764	7.042271766
765	7.0421231
766	7.041247983
767	7.039780993
768	7.039276809
769	7.039158126
770	7.039017233
771	7.037724148
772	7.037489814
773	7.036363386
774	7.03627743
775	7.035797925
776	7.035704757
777	7.034933588
778	7.034817192
779	7.034268793
780	7.03402712
781	7.033808553
782	7.033503518
783	7.033317326
784	7.032692382
785	7.032469021
786	7.03176917
787	7.031499682
788	7.031411963
789	7.03051706
790	7.029669521
791	7.028427908
792	7.027272795
793	7.025802598
794	7.025606881
795	7.025363501
796	7.025012015
797	7.024804286
798	7.024690101
799	7.023760117
800	7.022283433
801	7.022174175
802	7.021614274
803	7.020770098
804	7.020175407
805	7.020070894
806	7.019945123
807	7.019171505
808	7.017828042
809	7.017730428
810	7.017402902
811	7.017328289
812	7.017240517
813	7.015719557
814	7.015646599
815	7.015296367
816	7.014260742
817	7.013737647
818	7.013565733
819	7.013220643
820	7.012867133
821	7.011779328
822	7.010578771
823	7.010529928
824	7.009357111
825	7.009191507
826	7.008338151
827	7.007325813
828	7.007227682
829	7.005985153
830	7.004404644
831	7.003913406
832	7.002863225
833	7.002440038
834	7.001477701
835	7.001330824
836	7.00118716
837	7.000856701
838	7.000696702
839	6.999854728
840	6.999157032
841	6.998862579
842	6.998022197
843	6.997842706
844	6.996658404
845	6.996564779
846	6.995877281
847	6.995423924
848	6.994269638
849	6.994029165
850	6.992822195
851	6.992494088
852	6.992372658
853	6.992104689
854	6.991930363
855	6.989955642
856	6.98898121
857	6.988766944
858	6.988607585
859	6.987595693
860	6.985796415
861	6.984654572
862	6.984220837
863	6.984127706
864	6.983997512
865	6.983794781
866	6.983415898
867	6.982981429
868	6.982792692
869	6.981910094
870	6.980522917
871	6.979834564
872	6.979673012
873	6.979561844
874	6.978276503
875	6.978040706
876	6.977859364
877	6.97755791
878	6.976699457
879	6.975326298
880	6.975246651
881	6.974383373
882	6.972727664
883	6.972430314
884	6.972178517
885	6.971407133
886	6.971099102
887	6.970371723
888	6.970088462
889	6.968230938
890	6.967459362
891	6.966959632
892	6.966834726
893	6.966691882
894	6.966568769
895	6.965627812
896	6.964227556
897	6.964139672
898	6.963284716
899	6.963098458
900	6.962942737
901	6.962878913
902	6.962816359
903	6.962734879
904	6.961988123
905	6.961331976
906	6.961216827
907	6.960987995
908	6.960639947
909	6.960344143
910	6.959679272
911	6.959266555
912	6.958608512
913	6.958256682
914	6.958139204
915	6.957641551
916	6.957534503
917	6.956883392
918	6.956381407
919	6.956220368
920	6.956065012
921	6.955075125
922	6.954011657
923	6.95391548
924	6.953359689
925	6.953283229
926	6.953084491
927	6.952349598
928	6.952006769
929	6.951367072
930	6.950822189
931	6.949960011
932	6.949845408
933	6.948974281
934	6.948082431
935	6.947427675
936	6.947133106
937	6.946811085
938	6.946571735
939	6.946377907
940	6.945258351
941	6.944271066
942	6.944181805
943	6.943544914
944	6.943475094
945	6.943248939
946	6.943038521
947	6.942081928
948	6.94139878
949	6.941053283
950	6.940966411
951	6.9408505
952	6.940587883
953	6.939811703
954	6.939518875
955	6.93888049
956	6.938467685
957	6.938150067
958	6.937887073
959	6.937804901
960	6.937707208
961	6.936850989
962	6.936792176
963	6.936022345
964	6.934497747
965	6.933071363
966	6.932603831
967	6.93219122
968	6.932129299
969	6.932074853
970	6.931017091
971	6.930073405
972	6.929954922
973	6.929879211
974	6.928532317
975	6.928278409
976	6.927421541
977	6.927339255
978	6.926611733
979	6.925246186
980	6.92497031
981	6.924770831
982	6.924102598
983	6.924053556
984	6.92334582
985	6.922387715
986	6.921764889
987	6.921616937
988	6.920911929
989	6.920819292
990	6.920611138
991	6.9193726
992	6.919274316
993	6.918731799
994	6.918328824
995	6.91825061
996	6.917721312
997	6.916899348
998	6.916819972
999	6.916507932
